ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_98,1,FeL2,Laibungsstein2,FeL2_Fe01_OFas_RhANT,Laibungsstein2_Fen01_OFas_RhANT,Fe01_OFas_RhANT,"0,10","0,25",2,1,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_159,1,FeL5,Laibungsstein5,FeL5_Fe04_OFas_RhANT,Laibungsstein5_Fen04_OFas_RhANT,Fe04_OFas_RhANT,"0,11","0,18",2,4,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_201,1,FeL2,Laibungsstein2,FeL2_Fe06_OFas_RhANT,Laibungsstein2_Fen06_OFas_RhANT,Fe06_OFas_RhANT,"0,11","0,20",2,6,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_52,1,FS26,Fassadenstein26,FS26_OFas_RhANT,Fassadenstein26_OFas_RhANT,OFas_RhANT,"0,11","0,17",2,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_236,1,FeL3,Laibungsstein3,FeL3_Fe08_OFas_RhANT,Laibungsstein3_Fen08_OFas_RhANT,Fe08_OFas_RhANT,"0,11","0,20",2,8,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_253,1,FeL2,Laibungsstein2,FeL2_Fe09_OFas_RhANT,Laibungsstein2_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,14","0,55",2,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_601,1,FeL17,Laibungsstein17,FeL17_Fe27_OFas_RhANT,Laibungsstein17_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,14","0,73",3,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_819,1,MS53,Mittelrisalitstein82,MS53_MRis_OFas_RhANT,Mittelrisalitstein82_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,14","0,36",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_284,1,FeL9,Laibungsstein9,FeL9_Fe10_OFas_RhANT,Laibungsstein9_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,15","0,53",2,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_252,1,FeL1,Laibungsstein1,FeL1_Fe09_OFas_RhANT,Laibungsstein1_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,15","0,55",2,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_611,1,FeL22,Laibungsstein22,FeL22_Fe27_OFas_RhANT,Laibungsstein22_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,15","0,19",3,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_606,1,FeL25,Laibungsstein25,FeL25_Fe27_OFas_RhANT,Laibungsstein25_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,15","0,30",3,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_614,1,FeL4,Laibungsstein4,FeL4_Fe27_OFas_RhANT,Laibungsstein4_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,16","0,31",3,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_528,1,FeL4,Laibungsstein4,FeL4_Fe23_OFas_RhANT,Laibungsstein4_Fen23_OFas_RhANT,Fe23_OFas_RhANT,"0,16","0,17",3,5,0,1,0,0,0,0,0,0,0
